Date,Price,Open,High,Low,Vol.,Change %
5-Jul-13,"5,867.90","5,889.95","5,900.45","5,858.45",123.59M,0.53%
8-Jul-13,"5,811.55","5,833.15","5,833.85","5,775.55",127.63M,-0.96%
9-Jul-13,"5,859.00","5,834.60","5,864.95","5,834.60",110.43M,0.82%
10-Jul-13,"5,816.70","5,869.90","5,879.35","5,802.85",117.52M,-0.72%
11-Jul-13,"5,935.10","5,894.50","5,948.85","5,887.95",120.20M,2.04%
12-Jul-13,"6,009.00","6,000.50","6,019.00","5,951.15",127.71M,1.25%
15-Jul-13,"6,030.80","5,991.20","6,038.20","5,980.95",116.28M,0.36%
16-Jul-13,"5,955.25","5,930.80","5,966.05","5,910.95",151.16M,-1.25%
17-Jul-13,"5,973.30","5,972.25","5,989.80","5,926.75",191.52M,0.30%
18-Jul-13,"6,038.05","5,984.70","6,051.10","5,974.55",171.73M,1.08%
19-Jul-13,"6,029.20","6,057.20","6,066.85","6,020.25",163.31M,-0.15%
22-Jul-13,"6,031.80","6,009.75","6,064.15","6,004.25",115.17M,0.04%
23-Jul-13,"6,077.80","6,064.30","6,093.35","6,061.30",126.47M,0.76%
24-Jul-13,"5,990.50","6,032.20","6,047.25","5,962.60",151.93M,-1.44%
25-Jul-13,"5,907.50","5,970.40","5,990.65","5,896.40",237.08M,-1.39%
26-Jul-13,"5,886.20","5,937.95","5,944.50","5,869.50",174.54M,-0.36%
29-Jul-13,"5,831.65","5,869.95","5,886.00","5,825.80",173.43M,-0.93%
30-Jul-13,"5,755.05","5,836.05","5,861.30","5,747.60",181.49M,-1.31%
31-Jul-13,"5,742.00","5,738.35","5,752.10","5,675.75",235.47M,-0.23%
1-Aug-13,"5,727.85","5,776.90","5,808.50","5,676.85",216.76M,-0.25%
2-Aug-13,"5,677.90","5,750.05","5,761.85","5,649.00",222.49M,-0.87%
5-Aug-13,"5,685.40","5,682.40","5,721.00","5,661.50",197.17M,0.13%
6-Aug-13,"5,542.25","5,664.90","5,664.90","5,521.80",216.23M,-2.52%
7-Aug-13,"5,519.10","5,549.30","5,561.45","5,486.85",245.01M,-0.42%
8-Aug-13,"5,565.65","5,510.05","5,577.60","5,510.05",204.92M,0.84%
12-Aug-13,"5,612.40","5,606.70","5,644.10","5,557.10",195.71M,0.84%
13-Aug-13,"5,699.30","5,600.25","5,704.75","5,578.90",223.00M,1.55%
